row,timestamp,prediction,score,reasons,move_count,click_count,left_click_count,right_click_count,scroll_count,event_rate,path_length,displacement,straightness,speed_mean,speed_std,speed_max,acceleration_mean,acceleration_std,acceleration_max,direction_change_mean,direction_change_std,click_interval_mean,click_interval_std,click_hold_mean,click_hold_std,double_click_count,scroll_abs_total,scroll_abs_mean,scroll_interval_mean,scroll_interval_std
53,2026-05-30 22:45:13,normal,0.1430143421243344,,306,1,1,0,3,32.74967209618773,2396.232305063626,496.9688118986945,0.20739592352899974,975.6638356462781,963.5887022968434,4144.938162801921,17145.300814963168,17190.48479035354,114278.65828688377,10.541076232825567,18.193830501640715,0.0,0.0,0.13709616661071777,0.0,0.0,3.0,1.0,0.04409909248352051,0.0037817955017089844
54,2026-05-30 22:45:17,normal,0.13144322381678553,,287,1,1,0,9,32.14157796999882,2668.4704804753806,916.9171173012313,0.343611489806657,1160.5839227625286,1109.2113019486399,5000.710324355469,20957.09365876741,22730.340851411223,159203.94247173925,10.628865666701046,19.30551906209251,0.0,0.0,0.13709616661071777,0.0,0.0,9.0,1.0,0.5619687736034393,1.0006309019988908
55,2026-05-30 22:45:21,normal,0.06376803044832818,"speed_max: 19833.5962, acceleration_mean: 88986.2805, acceleration_std: 966887.3281",314,1,1,0,9,32.52580007000754,2694.335446838228,991.8971720899299,0.368141677850065,1105.6107469604658,1527.0843599630643,19833.59621935152,88986.2804791319,966887.3280644226,16289743.931421403,10.767421647335954,19.99746415414899,0.0,0.0,0.13709616661071777,0.0,0.0,9.0,1.0,0.5619687736034393,1.0006309019988908
56,2026-05-30 22:45:37,normal,0.053097033072694144,"event_rate: 126.0313, straightness: 0.9923",124,0,0,0,0,126.03125787553456,1134.3971294824228,1125.705556528882,0.9923381567815617,1154.2130081462112,871.0626321513575,3549.5846843678264,19157.231726577425,17465.336479398866,109927.38319613089,4.537619390337345,6.172143581081079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2026-05-30 22:45:41,normal,0.06028937754390734,straightness: 0.9443,154,2,2,0,0,20.809832866936024,1222.0937324766046,1154.0017331009517,0.9442825066800214,998.869760397482,843.9119958203968,3549.5846843678264,17690.308420157362,16610.58323053801,109927.38319613089,6.136283595421018,9.157715373668422,3.432398557662964,0.0,0.11603450775146484,0.027920246124267578,0,0.0,0.0,0.0,0.0
58,2026-05-30 22:45:45,normal,0.07752844030774847,displacement: 1720.0270,174,3,3,0,11,26.914857402455354,2026.0169986979126,1720.0270346712578,0.8489696956030924,1463.4282992734898,1773.3071621165466,5836.621757598669,31190.880564582345,51911.97956760484,563143.4707607228,11.693892711229676,21.654031804378313,2.344334363937378,1.088064193725586,0.1039126714070638,0.02852317061292456,0,11.0,1.0,0.11684591770172119,0.17994942407992182
59,2026-05-30 22:45:49,normal,0.11223078824635324,click_interval_std: 1.9717,427,3,3,0,17,51.79699606881253,4753.281484701759,562.5415540206785,0.11834804141753343,1391.6393731780752,1686.4867723988732,6807.182936390848,25248.97224280428,38240.412899678464,563143.4707607228,12.325989449458874,21.333634553489077,3.227975845336914,1.971705675125122,0.08018255233764648,0.006277068931721385,0,17.0,1.0,0.1339920163154602,0.24526157765936854
60,2026-05-30 22:45:53,normal,0.1347766842863451,,426,2,2,0,12,46.080917707755916,4061.5133701447253,855.472384124701,0.21062897155850496,1188.9176390113018,1394.9903939752146,6807.182936390848,21830.249990353546,34443.85017409812,563143.4707607228,13.03514546998445,23.25882279165517,3.656743288040161,0.0,0.06406009197235107,0.008704304695129395,0,12.0,1.0,0.14396606792103162,0.27028824306944116
61,2026-05-30 22:45:57,normal,0.13426836052260432,,431,1,1,0,0,44.476258759996654,2986.5869812681294,99.24716620639605,0.033230964585620366,861.3832399873567,1011.9656717228125,5164.715340566608,16371.11778678817,17254.948969111603,103134.35644385297,14.715878888928305,23.87754971816904,0.0,0.0,0.05535578727722168,0.0,0.0,0.0,0.0,0.0,0.0
62,2026-05-30 22:46:01,normal,0.1039398487826369,click_interval_mean: 6.7748,346,2,2,0,8,35.99950122991515,2830.426478952877,167.88686666919483,0.05931504242120607,1015.6640546786884,1181.4845624437307,5164.715340566608,19594.77808129488,22737.060587736138,216496.3931141243,14.373412057790159,24.470273773827856,6.774787902832031,0.0,0.06767439842224121,0.012318611145019531,0,8.0,1.0,0.2617954526628767,0.31466439876751623
63,2026-05-30 22:46:29,normal,0.031333007276308056,"event_rate: 132.2894, straightness: 0.9986",19,0,0,0,0,132.28936678812425,238.3089113238684,237.96848530845423,0.9985714927170662,1655.8737649365264,656.9294707173625,2647.0272482015944,39221.286269887896,26389.09039455882,91127.69661188776,3.9464993831821733,3.020311939413876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2026-05-30 22:46:34,normal,0.12756468951454486,,222,2,2,0,6,65.16755402577078,1565.2160480016562,608.1060762728819,0.38851254882625536,889.8355272977831,1469.5688397136555,7146.145376737025,35888.00214533925,172314.6091790075,2394499.3010168388,12.802553724449838,18.998203503141575,1.2242534160614014,0.0,0.07988560199737549,0.00012362003326416016,0,6.0,1.0,0.10848608016967773,0.18646372918503984
65,2026-05-30 22:46:38,normal,0.049723289346629784,"acceleration_mean: 82544.1886, acceleration_std: 966687.2552, acceleration_max: 19885965.1692",441,4,4,0,11,61.63100193813542,3607.8484733962046,1178.2512465514305,0.3265800255303677,1058.7207039137538,1892.362249890703,16376.644703196178,82544.18862589318,966687.2551515471,19885965.169212896,15.870891856197469,27.736199987228606,0.9199086825052897,0.38595712645599745,0.07628828287124634,0.012005769922288061,0,11.0,1.0,0.5637789964675903,1.4769930000276341
66,2026-05-30 22:46:42,anomaly,-0.06172983939922616,"path_length: 6592.0698, speed_mean: 2515.4339, speed_std: 8779.4569, speed_max: 101318.9114, acceleration_mean: 176696.4034, acceleration_std: 1241999.1064, acceleration_max: 19885965.1692",334,4,4,0,5,34.70045254582268,6592.069817405268,391.637587573001,0.059410412574658546,2515.4338821909773,8779.456910292853,101318.91142634097,176696.40336039235,1241999.1064000945,19885965.169212896,16.87011248280136,30.69198960285962,0.9199086825052897,0.38595712645599745,0.07628828287124634,0.012005769922288061,0,5.0,1.0,0.02994680404663086,0.015440203409929586
67,2026-05-30 22:46:46,anomaly,-0.05211856016991523,"path_length: 6585.5551, speed_mean: 2510.4944, speed_std: 8780.7582, speed_max: 101318.9114, acceleration_mean: 176515.9730, acceleration_std: 1242023.4363, acceleration_max: 19885965.1692",334,3,3,0,5,35.581811419715706,6585.555098779507,374.5410524895769,0.056873118039660796,2510.49437066591,8780.758175524132,101318.91142634097,176515.97303269728,1242023.4362705273,19885965.169212896,17.373177904613147,31.780006801468087,0.7677363157272339,0.39239656925201416,0.07513038317362468,0.013668275497060563,0,5.0,1.0,0.02994680404663086,0.015440203409929586
68,2026-05-30 22:46:50,anomaly,-0.10139746229725188,"path_length: 58896.7205, speed_mean: 17682.4660, speed_std: 15245.0129, speed_max: 64807.5380, acceleration_mean: 788563.2871",417,0,0,0,0,47.734068509454,58896.72054631548,288.1405906844782,0.00489230279736694,17682.465982017085,15245.012926635694,64807.53804528045,788563.2870662941,780024.5280240291,4379006.625882312,20.165848603271762,42.16699679686077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2026-05-30 22:46:54,anomaly,-0.10623815433750894,"move_count: 773.0000, event_rate: 101.2211, path_length: 103582.9170, speed_mean: 16709.0170, speed_std: 13530.2432, speed_max: 64807.5380, acceleration_mean: 648162.1749",773,1,1,0,0,101.22105719955475,103582.91695519863,422.82502291136933,0.0040819957126158974,16709.017027331036,13530.243160442511,64807.53804528045,648162.1748695754,704045.1962293866,4381405.300333755,17.44741126916329,35.04217618413129,0.0,0.0,0.06393957138061523,0.0,0.0,0.0,0.0,0.0,0.0
70,2026-05-30 22:46:58,anomaly,-0.11171196449391296,"move_count: 852.0000, path_length: 104157.0737, speed_mean: 15240.8646, speed_std: 13683.8417, speed_max: 64807.5380, acceleration_mean: 589685.9630",852,1,1,0,0,92.02559991647152,104157.07370694901,119.70797801316336,0.0011493024309608348,15240.864599995195,13683.841684462213,64807.53804528045,589685.9629652589,695002.4115476136,4381405.300333755,17.28404708964765,34.32238685239815,0.0,0.0,0.06393957138061523,0.0,0.0,0.0,0.0,0.0,0.0
71,2026-05-30 22:47:02,normal,0.0347401448399714,"path_length: 7624.4068, speed_max: 19935.0942, click_interval_mean: 6.1601",494,2,2,0,10,50.836418005271064,7624.406761414851,1022.8206098822999,0.13415084502817062,1930.2866875974523,2473.1802929311198,19935.094165405793,41621.58374468045,72286.09131143377,536361.9308981685,8.92105150792539,17.21842262439755,6.160066604614258,0.0,0.06374502182006836,0.000194549560546875,0,10.0,1.0,0.22037172317504883,0.5219932196490187
72,2026-05-30 22:47:06,normal,0.10139141321905487,,438,2,2,0,19,59.044217919316964,4962.554426554296,1168.668045254939,0.23549727515359323,1413.194230599165,1897.039764059128,9912.019596706561,26597.865342939647,32152.449864339444,227336.7455433652,9.821765539317035,19.72177172777726,3.6073031425476074,0.0,0.06383180618286133,0.00028133392333984375,0,19.0,1.0,0.36975393030378556,0.9611010462985252
73,2026-05-30 22:47:10,normal,0.1154170565190678,,355,1,1,0,13,37.00002999308156,4125.738923100232,921.0499443569822,0.22324484450530171,1450.8313699393068,2128.1385067598935,9912.019596706561,27010.56876311858,32724.418452438033,227336.7455433652,9.559239783123079,17.47845032599325,0.0,0.0,0.06411314010620117,0.0,0.0,13.0,1.0,0.3986845413843791,1.0914939053314607
74,2026-05-30 22:47:14,normal,0.06145740264029714,"click_interval_mean: 7.0639, scroll_interval_std: 1.9489",339,2,2,0,11,35.714291081659695,4117.705696704366,949.6409847937272,0.2306238120790854,1509.6440466409615,2119.659133028222,9912.019596706561,28806.260784417133,33404.478529185806,227336.7455433652,7.965748263540013,14.843753749377546,7.063933372497559,0.0,0.0640723705291748,4.076957702636719e-05,0,11.0,1.0,0.7288748025894165,1.9489157622037325
75,2026-05-30 22:47:26,normal,0.11622155553645108,,198,0,0,0,0,74.12010483013299,1552.800054432515,170.7629936490925,0.10997101214779348,977.6413084959461,1250.3254363512049,5521.9148702680695,21694.398925088433,25688.95331944937,160003.05092255672,17.10916194877203,25.010394125816322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2026-05-30 22:47:31,normal,0.12501890993089565,,228,0,0,0,0,28.24774600989689,2101.118439780432,589.2266117547645,0.28043474399108076,1148.7151787955981,1364.9174506173879,5521.9148702680695,25050.90239560049,28104.393148135285,160003.05092255672,16.398856683536614,25.288482678212873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2026-05-30 22:47:35,normal,0.10438635943769525,,378,2,2,0,8,39.18796714798848,3481.511522851713,704.4948544879516,0.20235315892647066,1147.290436387585,1477.275619029894,6922.772919833893,25357.342185138914,30471.856894186447,233415.1943353737,11.92251292988258,21.415584127666502,2.800509214401245,0.0,0.23994457721710205,0.12775695323944092,0,8.0,1.0,0.33957294055393766,0.7735251338402996
78,2026-05-30 22:47:39,normal,0.03939902335594159,"click_hold_mean: 0.8665, click_hold_std: 0.8923",630,3,3,0,8,74.26707529436963,4195.176455051505,209.84756372185979,0.05002115309576017,825.5642643918519,1140.8566597320523,6922.772919833893,19449.42186192644,24051.13882963849,233415.1943353737,10.972376598106665,20.171957946441786,2.3925588130950928,0.40795040130615234,0.8665498097737631,0.8922720779011993,0,8.0,1.0,0.33957294055393766,0.7735251338402996
79,2026-05-30 22:47:43,normal,0.039779609637884406,"click_hold_mean: 1.2437, click_hold_std: 0.8760",684,3,3,0,6,69.50004639628646,2527.0048470585652,264.6148144001012,0.10471480286557935,451.21777109233363,499.5719417213021,3310.47771324536,13525.026040950075,14287.56108550845,99486.9431652593,9.894677015660113,18.622471085926165,2.6399766206741333,0.6553682088851929,1.243730902671814,0.876029372215271,0,6.0,1.0,0.011286163330078125,0.0038499439312856204
80,2026-05-30 22:47:47,anomaly,-0.001519564285844044,"click_interval_std: 2.0846, click_hold_mean: 0.7756, click_hold_std: 1.4080",685,5,5,0,11,70.70024273002036,2845.8217214050546,627.3452000294575,0.22044430798698142,510.3842696076803,596.9983089071593,3511.4740226806084,14760.328394787046,15722.390287751197,132998.45783343413,8.131832545379961,16.211389285210938,1.8321369886398315,2.0845822473699207,0.7755545139312744,1.4079680870222075,0,11.0,1.0,0.046232962608337404,0.0887287431644661
81,2026-05-30 22:47:51,normal,0.07146562599445677,left_click_count: 6.0000,609,6,6,0,34,65.64918636516393,4206.940525797865,494.28129642947243,0.11749186692762427,844.8684280076986,1031.7667356498341,6992.60447869101,21163.454696632456,33265.9298426474,608603.3624945225,9.58847993870217,16.899698220593052,1.0965649604797363,0.8441981379809906,0.0739132563273112,0.011615654224367705,0,34.0,1.0,0.1805424401254365,0.7268516844899597
82,2026-05-30 22:47:55,normal,0.068329955491781,"left_click_count: 6.0000, scroll_count: 41.0000, scroll_abs_total: 41.0000",568,6,6,0,41,62.1481754214162,5134.692019715157,708.3572544980393,0.137955159097806,1108.473446382025,1461.5295964585616,9053.20174978127,25148.202653998247,38504.910818983095,608603.3624945225,8.121185313679922,17.001483053872853,1.6174068927764893,1.1823438751963053,0.07405277093251546,0.011697307700541977,0,41.0,1.0,0.17019161581993103,0.4799185202329837
83,2026-05-30 22:47:59,normal,0.08148615650101598,"scroll_count: 45.0000, scroll_abs_total: 45.0000",496,3,3,0,45,54.74346922021817,4855.633423199932,1178.8965179353106,0.24278943964398386,1214.964734894081,1577.2836604556742,9053.20174978127,25785.333257019633,30548.01357116161,204215.92427557605,11.95401957491774,25.10075644315996,3.0436208248138428,0.2733149528503418,0.07946006457010905,0.01236877077041207,0,45.0,1.0,0.21417505090886896,0.4988231608072264
84,2026-05-30 22:48:03,normal,0.11789860388580253,,273,1,1,0,15,29.022716898817734,3579.6785599016357,353.9519741433857,0.09887814456533543,1637.5749866316498,2091.7784415880915,9053.20174978127,32169.931053721873,40663.77198448655,244148.22446796444,13.109104176966808,29.24110567178409,0.0,0.0,0.08122372627258301,0.0,0.0,15.0,1.0,0.2205038070678711,0.3793346589564799
85,2026-05-30 22:48:07,anomaly,-0.034785176118308114,"click_count: 21.0000, left_click_count: 21.0000, straightness: 0.9693, double_click_count: 20.0000",129,21,21,0,1,17.269055156706283,1295.023796133049,1255.2947860960787,0.9693217914947961,1260.1504347133027,2034.3305757194503,7162.362196378625,25012.358114359115,38382.12285909816,244148.22446796444,4.0738826825415675,12.827945937595791,0.15795159339904785,0.01985328731333886,0.06858542987278529,0.013269622440940185,20,1.0,1.0,0.0,0.0
86,2026-05-30 22:48:11,anomaly,-0.015646887903508433,"click_count: 30.0000, left_click_count: 30.0000, double_click_count: 29.0000",284,30,30,0,0,56.58083178620796,1846.3917364112915,1231.0328996415976,0.6667235751576067,827.1449377550935,1467.5331198950262,7162.362196378625,45531.74761242287,375704.9763474355,6134074.806725081,10.077497044272341,16.900414794111775,0.156348442209178,0.019837265680793456,0.06544059117635091,0.01634581222634107,29,0.0,0.0,0.0,0.0
87,2026-05-30 22:48:15,anomaly,-0.022141557533761458,"click_count: 26.0000, left_click_count: 26.0000, double_click_count: 24.0000",359,26,26,0,0,41.49741131495427,1458.0467821821278,629.5792245619291,0.4317963128862672,516.081912182632,577.5792249885172,4752.601551503366,35594.85467510378,333724.3919953854,6134074.806725081,11.793750090508814,18.682252748884597,0.392968111038208,1.1578667607161497,0.06576038323915921,0.017097399178373798,24,0.0,0.0,0.0,0.0
88,2026-05-30 22:48:19,normal,0.14278957917941892,,365,2,2,0,2,58.84863707766403,3227.5071429398245,336.3004608976919,0.10419820809176195,1107.3119566230364,1282.0455011588506,6429.858309861789,23629.129418839417,25731.819898767822,150004.56600380552,11.43687857720307,18.935303706260736,2.1442582607269287,0.0,0.06369972229003906,0.01632976531982422,0,2.0,1.0,0.05568695068359375,0.0
89,2026-05-30 22:48:23,anomaly,-0.018842728754889904,"click_count: 22.0000, right_click_count: 20.0000, double_click_count: 19.0000",667,22,2,20,2,71.2005415194689,4220.216702837961,257.70137756713683,0.06106354145128161,787.7376525563477,1030.1937321647163,6429.858309861789,19593.80288381643,21419.45414021674,150004.56600380552,11.860798490026943,18.649560146632584,0.4232200100308373,0.8049292132312196,0.06743670645214263,0.022374927738406474,19,2.0,1.0,0.05568695068359375,0.0
90,2026-05-30 22:48:28,anomaly,-0.053532097140256196,"move_count: 800.0000, click_count: 40.0000, right_click_count: 39.0000, double_click_count: 38.0000",800,40,1,39,2,88.98320120346743,3688.6226811414012,234.6763729053268,0.06362168028330535,573.355513028879,768.2631677029774,5398.900678154144,18893.14626136953,42945.98417934437,784968.0173683813,15.411962955529374,22.759154776128966,0.18294555712968874,0.11616565096734689,0.0706235110759735,0.019579650147420746,38,2.0,1.0,0.05568695068359375,0.0
91,2026-05-30 22:48:32,anomaly,-0.06469903381716202,"move_count: 835.0000, click_count: 40.0000, right_click_count: 39.0000, double_click_count: 38.0000",835,40,1,39,0,92.16781443303722,2737.932466395772,233.21449354617735,0.08517905259116273,404.7002379790613,423.5242097100689,2878.3490860410025,15767.017371409942,40486.45337110343,784968.0173683813,17.16265291923036,23.77056974357664,0.18294555712968874,0.11616565096734689,0.0706235110759735,0.019579650147420746,38,0.0,0.0,0.0,0.0
92,2026-05-30 22:48:36,normal,0.020116992908505993,"click_count: 7.0000, right_click_count: 6.0000, double_click_count: 5.0000",513,7,1,6,6,53.30043206565147,4364.031390624838,358.235955761004,0.08208830865208604,1058.2723947833442,1422.4245801901197,6089.275356904457,19628.966856614512,23177.630635451675,197919.096094296,15.100967606795068,24.189628635563707,0.2799649238586426,0.261915540248736,0.06525485856192452,0.016781350074213254,5,6.0,1.0,0.03198151588439942,0.008930582429569704
93,2026-05-30 22:48:40,normal,0.09430103269730966,path_length: 6654.5113,448,2,2,0,11,71.36852476702526,6654.511338518149,1172.4644983964333,0.17619092353331567,1857.53957410216,1799.6805403121357,6400.49902064701,28108.534346654116,28047.73462714177,197919.096094296,11.80055690382144,25.49491559193352,2.5487051010131836,0.0,0.054108262062072754,0.009393572807312012,0,11.0,1.0,0.2759817838668823,0.6910075165859044
94,2026-05-30 22:48:44,normal,0.012863030173749235,"path_length: 6758.6875, acceleration_mean: 83750.4408, acceleration_std: 1171155.5024, acceleration_max: 26223240.5252",508,2,2,0,33,54.54253463185485,6758.687457730349,789.6150961069577,0.11682965088196581,1687.9409065777566,1857.5821654774875,15096.555345965673,83750.44080674142,1171155.5024314942,26223240.525186542,15.428825738714718,32.95350737479242,2.5487051010131836,0.0,0.054108262062072754,0.009393572807312012,0,33.0,1.0,0.29926419258117676,0.8756522240920156
95,2026-05-30 22:48:48,anomaly,-0.01078741681540063,"acceleration_mean: 108688.3900, acceleration_std: 1415482.2612, acceleration_max: 26223240.5252, click_interval_mean: 9.3039",348,2,2,0,22,37.4274573054621,3947.5515463374973,131.0267148332736,0.03319189459472391,1453.521607679106,2088.6703147803455,15096.555345965673,108688.38995477979,1415482.261236907,26223240.525186542,18.400814003917745,36.7492878233182,9.303875923156738,0.0,0.06780028343200684,0.00429844856262207,0,22.0,1.0,0.10668601308550153,0.18060126809763155
96,2026-05-30 22:48:52,normal,0.008066292336340763,"acceleration_mean: 129618.4314, acceleration_std: 1578394.2610, acceleration_max: 26223240.5252",280,1,1,0,27,31.792575926353393,3111.153314343886,676.6306230137682,0.2174854642791731,1433.4618974627126,2099.891373676997,15096.555345965673,129618.43144171538,1578394.2609795686,26223240.525186542,22.90134531084131,41.22849590457699,0.0,0.0,0.0720987319946289,0.0,0.0,27.0,1.0,0.2981541340167706,0.9207851283753027
97,2026-05-30 22:49:00,normal,0.057446447244808796,"scroll_interval_mean: 1.5893, scroll_interval_std: 3.4857",50,0,0,0,7,5.700012366798529,88.30818634429325,13.92838827718412,0.15772476883264872,216.07373281636998,154.0624490334441,591.2901593354524,13024.682525685559,9853.838607931084,44597.30562251113,27.10520481461726,25.890242344588696,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.589271903038025,3.4857262291640327
98,2026-05-30 22:49:04,normal,0.146157557753261,,318,2,2,0,5,47.97726369988118,2507.746389306646,511.4782497819433,0.2039593205927651,984.6276515885378,1229.2510296975515,5814.432826066306,22239.317680337717,24768.01097494298,164218.78309900805,12.6920399644589,20.264124120608578,1.2244665622711182,0.0,0.06797182559967041,0.020215392112731934,0,5.0,1.0,0.026080071926116943,0.008842944962882262
99,2026-05-30 22:49:08,normal,0.07880809468799593,scroll_interval_std: 3.2519,471,3,3,0,7,49.75401051694103,4351.48710979985,466.4354188952636,0.10718988868077277,1146.7572225714473,1422.9902116301705,6408.91829221522,24473.6855260162,28063.530548041468,180073.62708761124,10.98981076664107,17.94774138419342,1.9759082794189453,0.7514417171478271,0.06673216819763184,0.016598641102909432,0,7.0,1.0,1.4974071582158406,3.2518772717192572
100,2026-05-30 22:49:12,normal,0.13561345852012985,,512,3,3,0,4,59.04946536665929,4515.669980131218,578.6752111504345,0.12814825124435225,1094.161650680797,1378.5892562002964,6408.91829221522,23212.699618744235,27513.554377491793,180073.62708761124,11.486835968244039,18.83463858235546,1.9759082794189453,0.7514417171478271,0.06673216819763184,0.016598641102909432,0,4.0,1.0,0.273285706837972,0.2940465125483153
101,2026-05-30 22:49:16,normal,0.07303233124295877,click_interval_mean: 9.5769,197,2,2,0,4,20.59876722042399,2071.2436301241837,933.2148734348376,0.4505577518077319,1313.6094262972274,1777.7886557640106,7785.269818426985,26263.135388137678,37399.001243228035,210334.10068443182,14.601784019734234,22.046823181554018,9.57694959640503,0.0,0.05972743034362793,0.004525423049926758,0,4.0,1.0,0.273285706837972,0.2940465125483153
102,2026-05-30 22:49:20,normal,0.12547474533892122,,223,2,2,0,4,23.100222503897943,2373.3260715405963,509.65969038172915,0.2147449086298091,1317.2829272563142,1735.1419662095059,7785.269818426985,31088.544187305422,65739.43053699328,797982.2518279012,14.163262169448117,21.513764857187162,0.8947830200195312,0.0,0.05959188938140869,0.0043898820877075195,0,4.0,1.0,0.273285706837972,0.2940465125483153
103,2026-05-30 22:49:37,normal,0.12157939951620528,,195,1,1,0,7,71.22556181493914,2486.333577217364,152.89865924853626,0.06149563383190771,1596.5924445019916,2049.823219395034,9292.038894396326,29555.010005158274,55857.27692718508,707056.8628565763,9.120304711366789,18.754933655710698,0.0,0.0,0.07969069480895996,0.0,0.0,7.0,1.0,0.15992228190104166,0.18537793650146253
